Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
ERAFP,Asset Owner,Europe,2020,"Public Report 2020, p. 89",Metrics and Targets a),https://www.rafp.fr/sites/default/files/2021-10/rafp-ra-2020-uk-web-v2.pdf#page=88
FEMSA,"Agriculture, Food, and Forest Products",North America,2017,"Annual Report 2017, p. 27",Metrics and Targets c),https://femsa.gcs-web.com/static-files/fa875687-ff2d-45a8-bf05-b1747afb94a9#page=29
First State Superannuation Fund,Asset Owner,Asia Pacific,2016,"Responding to Climate Change: A case study, pp. 14-15",Risk Management a),https://aware.com.au/content/dam/ftc/digital/pdfs/about/policies/FSS-Responding-to-Climate-Change-a-Case-Study_May-2016.pdf#page=16
Ford,Transportation,North America,2021,"Integrated Sustainability and Financial Report 2021, p. 12",Strategy b),https://corporate.ford.com/microsites/integrated-sustainability-and-financial-report-2021/files/ir21.pdf#page=12
Fujifilm Group,Technology and Media,Asia Pacific,2019,"Sustainability Report 2019, p. 54",Metrics and Targets c),https://asset.fujifilm.com/holdings/files/2020-01/b01431293b033e0186cee061b0ad1b0f/sustainability_activity_report_2019_management_en.pdf#page=54
General Motors,Transportation,North America,2017,"2017 Sustainability Report, p. 174",Strategy a),https://ungc-production.s3.us-west-2.amazonaws.com/attachments/cop_2018/468471/original/GM_2017_Sustainability_Report_062718.pdf?1540233090#page=174
Gold Fields,Materials and Buildings,Middle East and Africa,2018,"Integrated Annual Report 2018, p. 97",Risk Management a),https://www.goldfields.com/pdf/investors/integrated-annual-reports/2018/iar-2018.pdf#page=99
Gold Fields,Materials and Buildings,Middle East and Africa,2018,"Integrated Annual Report 2018, p. 2",Risk Management c),https://www.goldfields.com/pdf/investors/integrated-annual-reports/2018/iar-2018.pdf#page=4
Gold Fields,Materials and Buildings,Middle East and Africa,2019,"Our 2019 Climate Change Report, p. 6",Strategy a),https://www.goldfields.com/reports/annual-report-2019/pdf/other-reports/tcfd-report-2019.pdf#page=7
Gruppo Mondadori,Technology and Media,Europe,2018,"2018 Annual Report, p. 88",Strategy a); Risk Management b),https://www.gruppomondadori.it/content/uploads/2019/03/Annual-report-2018.pdf?f687e2#page=90
Hermes Investment Management,Asset Manager,Europe,2018,"RI Transparency Report 2018, pp. 21-22",Strategy b),https://reporting.unpri.org/Download.aspx?id=1C3700F1-5A1F-47B0-B51B-C75BD346A65E#page=22
"Hitachi, Ltd.",Technology and Media,Asia Pacific,2018,"Hitachi Integrated Report 2018, pp. 46-47",Strategy a),http://www.hitachi.com/IR-e/library/integrated/2018/ar2018e.pdf#page=25
HSBC,Banking; Asset Owner,Europe,2020,"TCFD Update 2020, p. 4",Metrics and Targets a),https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2020/annual/pdfs/hsbc-holdings-plc/210223-task-force-on-climate-related-financial-disclosures-tcfd-update-2020.pdf?download=1
Hyundai Motor Company,Transportation,Asia Pacific,2017,"2017 Sustainability Report, p. 63",Strategy b),https://www.hyundai.com/content/hyundai/ww/data/csr/data/0000000020/attach/english/Sustainability_Report_en_2017.pdf#page=63
Ilmarinen,Asset Owner,Europe,2020,"Annual and Sustainability Report 2020, p. 50",Metrics and Targets a),https://www.ilmarinen.fi/media_global/liitepankki/ilmarinen/taloudellisia-tietoja/vuosikertomus/2020/ilmarinens-annual-and-sustainability-report-2020.pdf#page=50
International Airlines Group,Transportation,Europe,2018,"Annual Report and Accounts 2018, p. 54",Strategy c),https://www.iairgroup.com/~/media/Files/I/IAG/annual-reports/iag-annual-reports/en/annual-report-and-accounts2018-en.pdf#page=56
Intesa Sanpaolo Group,Banking,Europe,2017,"2017 Consolidated Non-Financial Statement, p. 55",Strategy a),https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/public/Contenuti/RISORSE/Documenti%20PDF/en_sostenibilita/CNT-05-00000004FDD1F.pdf#page=55
Invesco,Asset Manager,North America,2019,"2019 Invesco Climate Change Report, p.31",Strategy c),https://www.invesco.com/content/dam/invesco/apac/en/pdf/insights/2020/july-2020/invesco-tcfd-task-force-on-climate-related-financial-disclosures-report-jul-2020.pdf#page=31
Itaú Unibanco,Banking,Latin America,2017,"Consolidated Annual Report 2017, pp. A-405, A-406",Risk Management a),https://www.itau.com.br/_arquivosestaticos/RI/pdf/en/Itau_RAC_2017_ing.pdf#page=405
Japan Airlines,Transportation,Asia Pacific,2020,"JAL Report 2020, p. 45",Metrics and Targets c),https://www.jal.com/en/sustainability/report/pdf/index_2020a.pdf#page=24
JBS S.A.,Consumer Goods,Latin America,2018,"2018 Annual and Sustainability Report, pp. 32-33",Risk Management b),https://jbs.com.br/wp-content/uploads/2019/11/JBS_RAS2018_book_EN.pdf#page=32
JetBlue Airways Corporation,Transportation,North America,2017,"2017 Environmental Social Governance Report, p. 29",Governance b),http://investor.jetblue.com/~/media/Files/J/Jetblue-IR-V2/Annual-Reports/jetblue-sasb-tcfd-2017.pdf#page=30
LafargeHolcim,Materials and Buildings,Europe,2018,"2018 Annual Report, pp. 67-68",Governance a),https://www.holcim.com/sites/holcim/files/atoms/files/04172019-finance-lafargeholcim_fy_annual_report-en.pdf#page=69
Legal & General Group,Asset Manager; Asset Owner,Europe,2020,"2020 Climate Report in line with recommendations from the Task Force on Climate-related Financial Disclosures, p. 8",Governance a),https://group.legalandgeneral.com/media/18377/fy2020-lg-tcfd-report.pdf#page=10
Legal & General Investment Management,Asset Manager,Europe,2018,"Task Force on Climate-related Financial Disclosures Report 2018, pp. 22-23",Risk Management a),https://www.lgim.com/landg-assets/lgim/_document-library/capabilities/lgim_tcfd_report.pdf#page=22
Lendlease,Materials and Buildings,Asia Pacific,2021,"Lendlease Annual Report 2021, p. 53",Strategy c),https://www.llwebstore.com/flippingbook/lendlease/annualreport/2021/52-53/
Lenovo Group Ltd.,Technology and Media,Asia Pacific,2018,"2017/18 Sustainability Report, pp. 75-76",Risk Management a),https://investor.lenovo.com/en/sustainability/reports/FY2018-lenovo-sustainability-report.pdf#page=75
Liberty Mutual,Asset Owner,North America,2020,"2020 Task Force on Climate-Related Financial Disclosures Report, p. 14",Metrics and Targets a),https://www.libertymutualgroup.com/documents/task-force-climate-financial-disclosures.pdf#page=14
Maersk,Transportation,Europe,2020,"2020 Sustainability Report, p. 9",Metrics and Targets b),https://www.maersk.com/sustainability/reports-and-resources
Meridian Energy,Energy,Asia Pacific,2020,"Climate Change Disclosures Meridian Energy Limited FY20, p. 11",Strategy c),https://www.meridianenergy.co.nz/assets/Sustainability/Meridian-Climate-Change-Disclosures-TCFD-Report-FY20.pdf#page=11
Mitsubishi Electric Group,Materials and Buildings,Asia Pacific,2018,"Environmental Performance Review 2018, p. 8",Metrics and Targets b),https://www.mitsubishielectric.com/sites/GWS/en/sustainability/reports/pdf/2018/Environmental_Performance_Review_2018_en.pdf#page=9
Mondi Group,"Agriculture, Food, and Forest Products",Africa,2019,"Integrated Report and Financial Statements 2019, p. 43",Risk Management c),https://www.mondigroup.com/media/11729/mondi_ir_2019_web_complete.pdf#page=45
Nestle,"Agriculture, Food, and Forest Products",Europe,2021,"Nestlé’s Net Zero Roadmap, p. 4",Strategy b),https://www.nestle.com/sites/default/files/2020-12/nestle-net-zero-roadmap-en.pdf#page=4
New York State Retirement Fund,Asset Owner,North America,2018,"2018 Comprehensive Annual Financial Report, p. 91",Strategy b),https://www.osc.state.ny.us/retire/word_and_pdf_documents/publications/cafr/cafr_18.pdf#page=92
Nutrien,Materials and Buildings,North America,2020,"2020 Environmental, Social and Governance (ESG) Report, pp. 21, 24, and 55",Metrics and Targets a),https://nutrien-prod-asset.s3.us-east-2.amazonaws.com/s3fs-public/uploads/2020-04/Nutrien%202020%20ESG%20Report_0.pdf#page=23
Oil Search,Energy,Asia Pacific,2017,"Climate Change Resilience Report 2017, p. 18",Strategy c),https://www.oilsearch.com/__data/assets/pdf_file/0005/18968/OSL-Climate-Change-Resilience-Report_FINAL.pdf#page=20
